Card names
The Bystial Lubellion
Albion the Shrouded Dragon
Albion the Shrouded Dragon
Albion the Shrouded Dragon
Ad Libitum of Despia
Bystial Druiswurm
Bystial Magnamhut
Bystial Saronir
Aluber the Jester of Despia
Aluber the Jester of Despia
Aluber the Jester of Despia
Fallen of Albaz
Fallen of Albaz
Fallen of Albaz
Springans Kitt
Guiding Quem the Virtuous
Blazing Cartesia the Virtuous
Blazing Cartesia the Virtuous
Tri-Brigade Mercourier
Tri-Brigade Mercourier
Ash Blossom and Joyous Spring
Ash Blossom and Joyous Spring
Ash Blossom and Joyous Spring
Despian Tragedy
Despian Tragedy
Allure of Darkness
Allure of Darkness
Allure of Darkness
Fusion Deployment
Fusion Deployment
Fusion Deployment
Branded in White
Branded Fusion
Gold Sarcophagus
Foolish Burial
Forbidden Droplet
Forbidden Droplet
Forbidden Droplet
Branded in High Spirits
Branded Opening
Branded Opening
Branded Opening
Super Polymerization
Super Polymerization
Super Polymerization
Crossout Designator
Crossout Designator
Crossout Designator
Branded in Red
Branded Lost
Branded Regained
Branded Banishment
Branded Sword
Branded Beast
Branded Retribution
